,player,info_state,actions
"Current player: 0
Round: 3
Coin Player Choices: 3 4 
Estimator Guesses: 5 1 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 3 4 
Estimator Guesses: 5 1 ","{'Player 0 chose: 5': 0.5, 'Player 0 chose: 0': 0.5}"
"Current player: 1
Round: 3
Estimator Guesses: 5 1 
Coin Player Choices: 3 4 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 1 
Coin Player Choices: 3 4 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 3 4 
Estimator Guesses: 5 2 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 3 4 
Estimator Guesses: 5 2 ","{'Player 0 chose: 5': 0.5, 'Player 0 chose: 0': 0.5}"
"Current player: 1
Round: 3
Estimator Guesses: 5 2 
Coin Player Choices: 3 4 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 2 
Coin Player Choices: 3 4 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 3 4 
Estimator Guesses: 5 3 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 3 4 
Estimator Guesses: 5 3 ","{'Player 0 chose: 5': 0.5, 'Player 0 chose: 0': 0.5}"
"Current player: 1
Round: 3
Estimator Guesses: 5 3 
Coin Player Choices: 3 4 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 3 
Coin Player Choices: 3 4 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 3 4 
Estimator Guesses: 5 5 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 3 4 
Estimator Guesses: 5 5 ","{'Player 0 chose: 5': 0.3607467711082479, 'Player 0 chose: 0': 0.6392532288917521}"
"Current player: 1
Round: 3
Estimator Guesses: 5 5 
Coin Player Choices: 3 4 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 5 
Coin Player Choices: 3 4 ","{'Player 1 chose: 5': 0.4495925486196567, 'Player 1 chose: 4': 0.04727143944548388, 'Player 1 chose: 3': 0.04727143944548388, 'Player 1 chose: 2': 0.04727143944548388, 'Player 1 chose: 1': 0.04727143944548388, 'Player 1 chose: 0': 0.3613216935984078}"
"Current player: 0
Round: 3
Coin Player Choices: 3 5 
Estimator Guesses: 5 0 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 3 5 
Estimator Guesses: 5 0 ","{'Player 0 chose: 5': 0.5276443141791443, 'Player 0 chose: 0': 0.47235568582085574}"
"Current player: 1
Round: 3
Estimator Guesses: 5 0 
Coin Player Choices: 3 5 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 0 
Coin Player Choices: 3 5 ","{'Player 1 chose: 5': 0.4317771897805166, 'Player 1 chose: 4': 0.04727143944548387, 'Player 1 chose: 3': 0.04727143944548387, 'Player 1 chose: 2': 0.04727143944548387, 'Player 1 chose: 1': 0.04727143944548387, 'Player 1 chose: 0': 0.3791370524375479}"
"Current player: 0
Round: 3
Coin Player Choices: 3 5 
Estimator Guesses: 5 1 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 3 5 
Estimator Guesses: 5 1 ","{'Player 0 chose: 5': 0.5, 'Player 0 chose: 0': 0.5}"
"Current player: 1
Round: 3
Estimator Guesses: 5 1 
Coin Player Choices: 3 5 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 1 
Coin Player Choices: 3 5 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 3 5 
Estimator Guesses: 5 2 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 3 5 
Estimator Guesses: 5 2 ","{'Player 0 chose: 5': 0.5, 'Player 0 chose: 0': 0.5}"
"Current player: 1
Round: 3
Estimator Guesses: 5 2 
Coin Player Choices: 3 5 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 2 
Coin Player Choices: 3 5 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 3 5 
Estimator Guesses: 5 3 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 3 5 
Estimator Guesses: 5 3 ","{'Player 0 chose: 5': 0.5, 'Player 0 chose: 0': 0.5}"
"Current player: 1
Round: 3
Estimator Guesses: 5 3 
Coin Player Choices: 3 5 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 3 
Coin Player Choices: 3 5 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
